mtu_minutes,participant,buy_mwh,sell_mwh,buy_vwap,sell_vwap,final_gap_mwh
60,DKL_ICE_H,0,2518.1864591258955,,144.09361461589108,
60,VAS_ST_H,179.73129699999998,6589.924498587883,130.24,149.04318993953035,
60,VAS_CCGT_D,481.46989007999997,2234.9398932842187,142.67736133670294,154.60501865329866,
60,DKL_ST_H,497.1034333,595.2490847776609,147.73253669317677,153.5417233412058,
60,VAS_GT_D,55.8883399914,62.831847835729086,148.36172441909838,153.54172334153606,
60,IND,3908.1358379966487,201.18753045223332,144.50575882042858,145.09156294862314,12.467306821282932
60,COM,3453.9134731109534,186.23604926247418,139.45259423542103,146.00199095339292,9.472613820718266
60,RESI,5551.470147336898,224.06407910295923,150.50860120032357,147.25057200977142,20.945586226231967
60,PV_C,100.01341677276416,744.8348646037185,144.8489961027315,102.06899862593171,7.638147562199625e-08
60,PV_A,100.01341670921389,744.8348645401685,144.84899608223495,131.14576259104473,7.638172905220764e-08
60,W_C,57.893050507747404,170.6180920701382,151.22725407914066,135.12018346223493,11.630305061859213
60,W_A,57.89305050608046,170.618092050808,151.22725407854867,143.69477911575166,11.63030507952246
30,DKL_ICE_H,0,2518.186459125335,,144.09361461589248,
30,VAS_ST_H,179.73129699999998,6589.9245166066075,130.24,149.04318988113275,
30,VAS_CCGT_D,481.46989651999996,2234.9398793690234,142.67736148162146,154.60501864244935,
30,DKL_ST_H,497.10342772,595.2490773227806,147.73253664377248,153.5417232150065,
30,VAS_GT_D,55.8883394415,62.83184705043316,148.36172444107456,153.541723215006,
30,IND,3908.135837522759,201.18753127126718,144.50575881382787,145.09156294121348,12.467305359941506
30,COM,3453.913472753075,186.23604989228977,139.45259422594276,146.00199095015859,9.472612742613855
30,RESI,5551.470145938666,224.06408006271315,150.50860118979017,147.2505720330349,20.945583907325087
30,PV_C,100.01341597790304,744.8348639535341,144.84899612925682,102.06899860578211,2.0569864331996992e-07
30,PV_A,100.01341405967678,744.8348620353061,144.84899617065275,131.14576260249947,2.0570048435432072e-07
30,W_C,57.89305203745135,170.6180936886146,151.22725466902722,135.12018349876675,11.630304973086753
30,W_A,57.89305204065852,170.61809363877512,151.2272546701662,143.69477907027448,11.630305026133408
15,DKL_ICE_H,0,2518.1864591214867,,144.09361461590206,
15,VAS_ST_H,179.731294,6589.924495480522,130.24,149.04318993636704,
15,VAS_CCGT_D,481.4698957,2234.939888840464,142.67736162282498,154.60501872016408,
15,DKL_ST_H,497.10342568,595.2490909138913,147.73253664573377,153.5417237256065,
15,VAS_GT_D,55.8883409286,62.83184848457804,148.36172458286418,153.54172372561615,
15,IND,3908.1358405353444,201.18753225006378,144.50575883518195,145.09156293722566,12.46730719146862
15,COM,3453.9134753485478,186.2360509053873,139.45259424741758,146.00199093429674,9.472614179397404
15,RESI,5551.470150270608,224.0640813178447,150.50860124522677,147.25057205101763,20.945587040076614
15,PV_C,100.01341651379808,744.8348643590066,144.8489961201881,102.06899861895644,1.68664364111199e-07
15,PV_A,100.01341584599362,744.834863691202,144.84899614042368,131.14576259816045,1.6866452957390817e-07
15,W_C,57.89305002196254,170.61809160723567,151.2272539149717,135.12018342645993,11.630305038976864
15,W_A,57.893050022245234,170.61809166775984,151.22725391507208,143.6947791127673,11.630304978735396
