scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
High demand,VAS_GT_D,ALL,0,0,0,0,0,,,,
High demand,VAS_GT_D,FM,0,0,0,0,0,,,,
High demand,VAS_GT_D,DAM,0,0,0,0,0,,,,
High demand,VAS_GT_D,IDA1,0,0,0,0,0,,,,
High demand,VAS_GT_D,IDA2,0,0,0,0,0,,,,
High demand,VAS_GT_D,IDA3,0,0,0,0,0,,,,
High demand,IND,ALL,4145.124283191,63.96326923,602440.8296840638,9552.32618347007,-592888.5035005937,145.3372175418327,149.34080603544018,4248.653151908368,186.96933427448974
High demand,IND,FM,27.954336260999998,0,2795.4336261,0,-2795.4336261,100.0,,4248.653151908368,186.96933427448974
High demand,IND,DAM,4080.429812,0,594044.790462,0,-594044.790462,145.58387665804065,,4248.653151908368,186.96933427448974
High demand,IND,IDA1,24.77840879,54.2831925,3866.31641978923,8074.710485097899,4208.394065308669,156.0357023954495,148.7515769286764,4248.653151908368,186.96933427448974
High demand,IND,IDA2,6.88887384,4.92027478,1003.76761146648,711.90525497966,-291.8623564868201,145.70851996710104,144.68810926443015,4248.653151908368,186.96933427448974
High demand,IND,IDA3,5.0728523,4.75980195,730.5215647081001,765.71044339251,35.18887868440993,144.0060781403196,160.87023187855746,4248.653151908368,186.96933427448974
High demand,COM,ALL,3646.93905941,47.2476148,510733.08836523205,7296.289102483,-503436.79926274903,140.04431662969938,154.4266125045322,3746.9355324878265,161.1568594863712
High demand,COM,FM,416.89689372,0,35436.235966199994,0,-35436.235966199994,84.99999999999999,,3746.9355324878265,161.1568594863712
High demand,COM,DAM,3184.174245,0,468385.45517358,0,-468385.45517358,147.097934702873,,3746.9355324878265,161.1568594863712
High demand,COM,IDA1,37.40093923,27.1379457,5685.82974229061,4171.4084401212995,-1514.4213021693104,152.02371542931465,153.71128257955425,3746.9355324878265,161.1568594863712
High demand,COM,IDA2,2.66741334,9.8579122,388.53854049318,1458.2380340374,1069.6994935442199,145.66116719397527,147.92564636936004,3746.9355324878265,161.1568594863712
High demand,COM,IDA3,5.79956812,10.2517569,837.02894266827,1666.6426283243002,829.6136856560302,144.32608176145882,162.5714152785168,3746.9355324878265,161.1568594863712
High demand,RES,ALL,6056.3361591535,134.9131642622,919977.8516231059,19959.060849585745,-900018.7907735202,151.90336656472715,147.94005432113252,6102.429555083804,191.31305243190118
High demand,RES,FM,74.1418716635,0,6742.6542903675,0,-6742.6542903675,90.94259612125364,,6102.429555083804,191.31305243190118
High demand,RES,DAM,5911.016663,0,902739.7159521299,0,-902739.7159521299,152.72156507404688,,6102.429555083804,191.31305243190118
High demand,RES,IDA1,45.3934746,120.5546247,6793.9378472009,17759.6706047369,10965.732757536,149.6677200207296,147.31637752538995,6102.429555083804,191.31305243190118
High demand,RES,IDA2,15.9009012,3.4706063522,2234.9193663635997,574.163934988006,-1660.7554313755936,140.55299999999997,165.436202415767,6102.429555083804,191.31305243190118
High demand,RES,IDA3,9.88324869,10.88793321,1466.62416704405,1625.22630986084,158.6021428167901,148.39494715214434,149.26857820620668,6102.429555083804,191.31305243190118
High demand,PV_C,ALL,9.2987984,695.1461385,1288.1462923802,68348.8640246364,67060.71773225619,138.5282524654153,98.32301474351985,644.8214478,41.025892299999995
High demand,PV_C,FM,0,486.37970934,0,41689.689372,41689.689372,,85.71428571428572,644.8214478,41.025892299999995
High demand,PV_C,DAM,0,208.44844494,0,26615.346887593798,26615.346887593798,,127.68311557927326,644.8214478,41.025892299999995
High demand,PV_C,IDA1,7.699483900000001,0,1067.7127748452,0,-1067.7127748452,138.6732914455734,,644.8214478,41.025892299999995
High demand,PV_C,IDA2,0,0,0,0,0,,,644.8214478,41.025892299999995
High demand,PV_C,IDA3,1.5993145,0.31798422,220.43351753500002,43.8277650426,-176.60575249240003,137.83,137.83,644.8214478,41.025892299999995
High demand,PV_A,ALL,2.0145671,695.83543785,288.6149410144,88862.1309990288,88573.5160580144,143.264,127.70567028548588,644.8214478,48.999422950000024
High demand,PV_A,FM,0,0,0,0,0,,,644.8214478,48.999422950000024
High demand,PV_A,DAM,0,694.8281544,0,88717.823542848,88717.823542848,,127.68311557475369,644.8214478,48.999422950000024
High demand,PV_A,IDA1,2.0145671,0,288.6149410144,0,-288.6149410144,143.264,,644.8214478,48.999422950000024
