variant,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
Markup 5%,W_A,ALL,57.89305204065852,170.61809363877512,8412.674431496745,24363.39240619917,15950.717974702426,145.31405989078777,142.79489288973207,124.35534662425,11.630305026133408
Markup 20%,DKL_ICE_H,ALL,0,2518.186459125335,0,362855.8650159254,362855.8650159254,,144.0941212677156,,
Markup 20%,VAS_ST_H,ALL,354.7968246,6511.377480751154,46208.738435904,974082.7192120717,927873.9807761677,130.24,149.597027985498,,
Markup 20%,VAS_CCGT_D,ALL,197.04678492,2121.0092900975305,28372.3824042352,337952.69221170055,309580.30980746535,143.98805043053224,159.33579064906428,,
Markup 20%,DKL_ST_H,ALL,384.77405842,502.0331406241064,59987.7087246588,86490.78862130734,26503.079896648538,155.90372430767988,172.281034104214,,
Markup 20%,VAS_GT_D,ALL,48.1883823415,52.99238706522997,7601.425095316606,9129.583243259049,1528.158147942443,157.74393590237273,172.2810341044113,,
Markup 20%,IND,ALL,3927.883787331496,233.4027859387058,572992.0688904908,34617.6382342757,-538374.4306562151,145.87806053186898,148.31715951910994,3694.481001659451,5.528628292950089e-07
Markup 20%,COM,ALL,3469.1925266053777,210.9877160139699,488908.997547505,31588.81153217428,-457320.1860153307,140.92875901179949,149.71872357764528,3258.2048108589797,5.134998701805671e-07
Markup 20%,RESI,ALL,5585.619090577627,279.15860812463234,846894.5034638579,40668.62158126085,-806225.8818825971,151.6205258057219,145.68284981240507,5306.460482681569,5.758632184438284e-07
Markup 20%,PV_C,ALL,100.01341597790304,744.834863952936,15803.828622389487,76621.19767610176,60817.369053712275,158.017086686462,102.87004728734507,644.8214478,2.0626164363300628e-07
Markup 20%,PV_A,ALL,100.01341405967678,744.834862034708,15803.828323793487,98278.58498023827,82474.75665644479,158.0170867316212,131.94681128614877,644.8214478,2.0626348466735707e-07
Markup 20%,W_C,ALL,77.76478606886134,202.12013255877403,13162.239404109778,27574.238328224623,14411.998924114845,169.25706440514745,136.42499625912512,124.35534662425,1.3433732060086356e-07
Markup 20%,W_A,ALL,77.76478606886134,202.12013255877403,13162.239404109778,29037.219477841667,15874.98007373189,169.25706440514745,143.66317254120148,124.35534662425,1.3433732060086356e-07
CBC allocation,DKL_ICE_H,ALL,0,2518.084636,0,362840.5548908,362840.5548908,,144.0938678960273,,
CBC allocation,VAS_ST_H,ALL,239.0065863263,6657.4647401,31128.217803137315,993699.2304850214,962571.0126818841,130.24,149.2609077596249,,
CBC allocation,VAS_CCGT_D,ALL,343.79844592,1952.79394654,50689.22055091092,306346.5718718126,255657.35132090165,147.43877161883978,156.87603518773892,,
CBC allocation,DKL_ST_H,ALL,278.35839695,339.4910706,40324.9920317245,50761.2318090295,10436.239777305003,144.8671657602909,149.52155212600016,,
CBC allocation,VAS_GT_D,ALL,153.74130804,207.27013064,24405.37441864528,32348.81802630808,7943.443607662801,158.7431167965317,156.07081409377588,,
CBC allocation,IND,ALL,3912.968323801,203.90418316,565445.6202586577,29138.81635576747,-536306.8039028903,144.5055450153484,142.90445592723694,3694.481001659451,14.583139770301003
CBC allocation,COM,ALL,3454.39016679,186.22826917,481739.0838275296,26756.72545967482,-454982.3583678548,139.45705625812002,143.67703452825265,3258.2048108589797,9.957087406643623
CBC allocation,RESI,ALL,5559.3426256135,233.44446165,836637.3678754452,34271.12324779875,-802366.2446276464,150.4921398477609,146.80632389206545,5306.460482681569,19.43768178468908
CBC allocation,PV_C,ALL,26.08194735,700.8268459999999,3661.8403336353003,69667.3182940969,66005.4779604616,140.3975050059021,99.40731964211443,644.8214478,29.923450890000023
CBC allocation,PV_A,ALL,25.18919355,697.770477,3451.6563952051,90926.6443444531,87474.987949248,137.029253769226,130.31024862987016,644.8214478,27.75983565000004
CBC allocation,W_C,ALL,29.5998350132,178.4579482005,4383.976702284896,24173.108033592292,19789.131331307395,148.10814655993417,135.4554856051212,124.35534662425,42.6341829123
CBC allocation,W_A,ALL,23.7952848498,170.535402724,3568.100285040564,24505.306812783427,20937.206527742863,149.94988744883858,143.69630247652216,124.35534662425,48.58976294155
Pro rata only,DKL_ICE_H,ALL,0,2518.1397514090604,0,362848.1514476308,362848.1514476308,,144.09373079655091,,
Pro rata only,VAS_ST_H,ALL,179.73129699999998,6495.87559347083,23408.20412128,968703.4419710413,945295.2378497613,130.24,149.12592275392555,,
Pro rata only,VAS_CCGT_D,ALL,353.62384553,2060.544044400317,50380.62739508884,320245.8595222014,269865.23212711257,142.46954223231182,155.41810930588625,,
Pro rata only,DKL_ST_H,ALL,385.94651302,451.18351280686653,57430.3118418438,70469.42121507901,13039.10937323521,148.80381064323214,156.1879350969195,,
Pro rata only,VAS_GT_D,ALL,44.326058052,47.62492635292627,6625.103552688609,7438.438906192328,813.3353535037195,149.46295348249862,156.18793509662362,,
Pro rata only,IND,ALL,3908.135837522759,201.18753112244363,564748.134748741,29190.71205346603,-535557.422695275,144.50575881382787,145.09205362086,3694.481001659451,12.467305350749129
Pro rata only,COM,ALL,3453.913472753075,186.23604975176025,481657.1940073514,27190.956087246817,-454466.2379201046,139.45259422594276,146.00264623036452,3258.2048108589797,9.472612724579541
Pro rata only,RESI,ALL,5551.470145938666,224.06407998613267,835544.0062121089,32993.68859545422,-802550.3176166547,150.50860118979017,147.25112832675458,5306.460482681569,20.945583886203025
Pro rata only,PV_C,ALL,6.466102948101238,696.6641701765009,995.4538917555486,69125.19478462833,68129.74089287278,153.94958907170854,99.223123197387,644.8214478,45.37661943012619
Pro rata only,PV_A,ALL,6.466102943985347,696.6641682582729,995.4538920804201,90782.58208876484,89787.12819668443,153.94958921994484,130.31039376652598,644.8214478,45.376617516017674
Pro rata only,W_C,ALL,14.670317504556706,170.6180936886146,2387.4170915970494,23053.948127415384,20666.531035818334,162.7379292135634,135.12018349876675,124.35534662425,54.85303945607586
Pro rata only,W_A,ALL,14.67031750455671,170.61809363877512,2387.41709159705,24516.929270815195,22129.512179218145,162.7379292135634,143.69477907027448,124.35534662425,54.85303951232968
