scenario,contract,seller,buyer,period,quantity_mwh,price_eur_mwh
Baseline,W_IND,W_C,IND,5,1.2810088439999998,100.0
Baseline,W_IND,W_C,IND,6,1.2810088439999998,100.0
Baseline,W_IND,W_C,IND,7,1.7311681305,100.0
Baseline,W_IND,W_C,IND,8,1.7311681305,100.0
Baseline,W_IND,W_C,IND,9,1.2573893715,100.0
Baseline,W_IND,W_C,IND,10,1.2573893715,100.0
Baseline,W_IND,W_C,IND,11,0.8753097440999998,100.0
Baseline,W_IND,W_C,IND,12,0.8753097440999998,100.0
Baseline,W_IND,W_C,IND,13,0.9239380449,100.0
Baseline,W_IND,W_C,IND,14,0.9239380449,100.0
Baseline,W_IND,W_C,IND,15,0.6759336307499999,100.0
Baseline,W_IND,W_C,IND,16,0.6759336307499999,100.0
Baseline,W_IND,W_C,IND,17,0.46196902245,100.0
Baseline,W_IND,W_C,IND,18,0.46196902245,100.0
Baseline,W_IND,W_C,IND,19,0.42445575645000005,100.0
Baseline,W_IND,W_C,IND,20,0.42445575645000005,100.0
Baseline,W_IND,W_C,IND,21,0.2334159192,100.0
Baseline,W_IND,W_C,IND,22,0.2334159192,100.0
Baseline,W_IND,W_C,IND,23,0.12365485634999998,100.0
Baseline,W_IND,W_C,IND,24,0.12365485634999998,100.0
Baseline,W_IND,W_C,IND,25,0.13893805275,100.0
Baseline,W_IND,W_C,IND,26,0.13893805275,100.0
Baseline,W_IND,W_C,IND,27,0.09517256789999999,100.0
Baseline,W_IND,W_C,IND,28,0.09517256789999999,100.0
Baseline,W_IND,W_C,IND,29,0.113234523,100.0
Baseline,W_IND,W_C,IND,30,0.113234523,100.0
Baseline,W_IND,W_C,IND,31,0.23411062065,100.0
Baseline,W_IND,W_C,IND,32,0.23411062065,100.0
Baseline,W_IND,W_C,IND,33,0.63633628395,100.0
Baseline,W_IND,W_C,IND,34,0.63633628395,100.0
Baseline,W_IND,W_C,IND,35,0.7773584174999999,100.0
Baseline,W_IND,W_C,IND,36,0.7773584174999999,100.0
Baseline,W_IND,W_C,IND,37,0.5314380606,100.0
Baseline,W_IND,W_C,IND,38,0.5314380606,100.0
Baseline,W_IND,W_C,IND,39,0.34734514364999997,100.0
Baseline,W_IND,W_C,IND,40,0.34734514364999997,100.0
Baseline,W_IND,W_C,IND,41,0.25217257574999996,100.0
Baseline,W_IND,W_C,IND,42,0.25217257574999996,100.0
Baseline,W_IND,W_C,IND,43,0.3313672458,100.0
Baseline,W_IND,W_C,IND,44,0.3313672458,100.0
Baseline,W_IND,W_C,IND,45,0.367491156,100.0
Baseline,W_IND,W_C,IND,46,0.367491156,100.0
Baseline,W_IND,W_C,IND,47,0.357765477,100.0
Baseline,W_IND,W_C,IND,48,0.357765477,100.0
Baseline,W_RESI,W_C,RESI,1,0.14727433670000004,105.0
Baseline,W_RESI,W_C,RESI,2,0.14727433670000004,105.0
Baseline,W_RESI,W_C,RESI,3,0.15375811092500002,105.0
Baseline,W_RESI,W_C,RESI,4,0.15375811092500002,105.0
Baseline,W_RESI,W_C,RESI,5,0.213501474,105.0
Baseline,W_RESI,W_C,RESI,6,0.213501474,105.0
Baseline,W_RESI,W_C,RESI,7,0.28852802175000003,105.0
Baseline,W_RESI,W_C,RESI,8,0.28852802175000003,105.0
Baseline,W_RESI,W_C,RESI,9,0.20956489525000002,105.0
Baseline,W_RESI,W_C,RESI,10,0.20956489525000002,105.0
Baseline,W_RESI,W_C,RESI,11,0.14588495735,105.0
Baseline,W_RESI,W_C,RESI,12,0.14588495735,105.0
Baseline,W_RESI,W_C,RESI,13,0.15398967415,105.0
Baseline,W_RESI,W_C,RESI,14,0.15398967415,105.0
Baseline,W_RESI,W_C,RESI,15,0.112655605125,105.0
Baseline,W_RESI,W_C,RESI,16,0.112655605125,105.0
Baseline,W_RESI,W_C,RESI,17,0.076994837075,105.0
Baseline,W_RESI,W_C,RESI,18,0.076994837075,105.0
Baseline,W_RESI,W_C,RESI,19,0.07074262607500001,105.0
Baseline,W_RESI,W_C,RESI,20,0.07074262607500001,105.0
